HTHC	HTAC	B365H	B365D	B365A	HTHG	HTAG	HTH-AG	FTHG	FTAG	FTR
4	1	1.25	6.5	15	1	1	0	2	1	1
2	4	3.2	3.4	2.4	1	2	-1	2	2	2
2	0	1.36	5	11	0	1	-1	1	2	3
3	4	2.5	3.3	3.1	0	0	0	0	1	3
0	3	1.95	3.5	4.5	0	0	0	0	1	3
4	0	2.25	3.4	3.5	1	1	0	2	2	2
5	1	3.8	3.6	2.05	0	0	0	0	1	3
2	4	1.33	5.75	10	1	0	1	2	1	1
0	2	5.25	4.33	1.67	0	1	-1	0	2	3
2	3	9	5	1.4	1	3	-2	1	3	3
3	2	2.5	3.4	3	0	0	0	0	0	2
4	3	1.2	7.5	17	0	0	0	2	0	1
1	6	2.5	3.3	3.1	0	2	-2	1	3	3
1	0	2.8	3.4	2.7	2	0	2	2	2	2
0	3	1.85	3.7	4.75	0	0	0	0	0	2
1	1	1.65	4	6	1	0	1	1	0	1
1	4	2.5	3.25	3.2	1	0	1	1	1	2
1	1	5	4	1.75	1	1	0	1	1	2
4	1	1.45	4.75	8	3	0	3	4	0	1
2	4	1.85	4	4.33	1	0	1	3	1	1
2	1	6	4.2	1.62	0	0	0	0	0	2
3	1	3.75	3.3	2.2	1	2	-1	3	6	3
3	1	1.18	8	18	0	0	0	0	1	3
8	3	1.75	3.75	5.25	1	1	0	3	3	2
4	2	2.4	3.25	3.3	1	0	1	1	0	1
0	0	1.85	3.6	4.75	2	0	2	3	0	1
2	4	2.8	3.4	2.7	1	1	0	1	3	3
2	3	2.3	3.3	3.5	2	0	2	2	1	1
4	5	4.75	3.75	1.83	1	1	0	1	1	2
4	1	2.7	3.5	2.7	0	1	-1	0	3	3
0	1	3	3.4	2.5	0	1	-1	2	2	2
4	1	1.3	5.75	12	1	1	0	4	2	1
3	3	2.25	3.3	3.6	0	0	0	0	0	2
2	6	1.3	6	11	0	1	-1	0	1	3
3	2	1.8	3.75	5	2	0	2	4	0	1
5	0	2.1	3.4	4	0	0	0	0	1	3
1	4	3.6	3.5	2.15	1	1	0	2	2	2
5	0	3.5	3.5	2.2	0	1	-1	0	2	3
2	0	1.29	6.25	12	3	0	3	4	0	1
0	5	2.15	3.4	3.75	1	0	1	2	2	2
4	3	4.75	3.6	1.85	0	3	-3	0	3	3
1	0	2.5	3.3	3.1	0	0	0	0	0	2
0	0	2.2	3.3	3.75	0	0	0	2	2	2
5	1	2.8	3.25	2.8	1	1	0	2	2	2
1	1	2.5	3.3	3.1	0	0	0	0	1	3
6	1	4.5	3.8	1.85	2	1	1	3	1	1
2	0	1.4	5	9	1	1	0	2	3	3
1	4	5.5	4.2	1.67	1	2	-1	5	3	1
9	2	2.38	3.5	3.1	0	0	0	1	1	2
3	5	1.53	4.33	7	0	0	0	0	1	3
3	4	1.75	3.9	5	0	0	0	1	1	2
5	1	1.22	7	16	1	0	1	3	0	1
3	3	2.63	3.4	2.88	0	0	0	2	0	1
1	3	6.5	4.2	1.57	2	2	0	2	4	3
7	0	1.91	3.75	4.33	0	0	0	1	1	2
3	3	1.4	5.5	8	2	1	1	2	1	1
0	0	1.44	4.6	8.5	0	0	0	2	1	1
7	1	2.9	3.3	2.63	0	0	0	0	0	2
9	1	2	3.5	4.2	2	0	2	4	0	1
1	7	2.15	3.4	3.8	1	0	1	1	0	1
0	6	7.5	4.5	1.5	0	0	0	0	2	3
4	2	2.1	3.5	3.8	0	0	0	2	0	1
6	1	1.8	3.75	5	2	1	1	2	2	2
4	4	1.44	5	7.5	1	0	1	2	1	1
4	1	2.55	3.25	3.1	2	1	1	3	1	1
2	1	1.91	3.7	4.33	1	1	0	2	2	2
1	0	1.67	4.2	5.25	1	0	1	2	0	1
6	2	1.67	4.2	5.25	1	0	1	2	1	1
6	2	2.2	3.5	3.5	1	0	1	1	0	1
4	4	1.91	3.6	4.5	1	0	1	2	0	1
3	0	1.4	5	9	1	1	0	2	2	2
1	1	2.8	3.4	2.7	0	0	0	1	3	3
2	1	8.5	4.75	1.44	0	1	-1	1	2	3
3	3	1.6	4	6.5	1	0	1	3	0	1
2	2	1.45	4.75	8	2	1	1	4	1	1
3	1	2.25	3.6	3.3	0	0	0	1	0	1
4	4	1.57	4	7	3	0	3	8	0	1
1	1	6	4.2	1.6	0	0	0	2	3	3
0	1	2.5	3.3	3.1	1	1	0	2	1	1
0	4	5	4	1.75	1	0	1	2	2	2
4	1	1.44	4.75	8	0	0	0	0	0	2
4	0	1.65	4	6	1	0	1	1	0	1
3	2	5.5	3.8	1.73	0	1	-1	0	2	3
1	1	1.95	3.7	4.2	1	0	1	2	0	1
4	2	1.91	3.6	4.5	0	2	-2	2	2	2
3	4	6.5	4.5	1.55	1	0	1	2	1	1
4	0	4.75	3.75	1.83	1	2	-1	1	3	3
6	0	2.88	3.6	2.5	0	0	0	1	1	2
4	2	1.75	3.9	5	1	0	1	1	2	3
2	2	2.38	3.25	3.4	1	0	1	2	0	1
7	1	1.25	6.5	14	0	0	0	3	0	1
10	1	1.17	8.5	21	1	0	1	2	1	1
8	0	1.75	3.8	5.25	0	0	0	0	0	2
3	1	3.8	3.6	2.05	0	1	-1	0	1	3
5	2	2.3	3.5	3.3	0	0	0	0	1	3
6	1	3.8	3.75	2	0	0	0	1	0	1
4	0	2.38	3.4	3.25	1	0	1	2	2	2
2	5	3.75	3.6	2.1	1	0	1	1	2	3
2	0	1.91	3.75	4.33	0	0	0	1	0	1
3	1	2.1	3.5	3.8	0	1	-1	1	3	3
5	1	2.5	3.4	3	0	0	0	1	0	1
3	5	3.4	3.4	2.3	1	1	0	1	2	3
5	2	1.3	6	11	0	0	0	1	0	1
3	3	7	4.75	1.5	1	1	0	2	2	2
5	2	1.44	4.75	8	0	0	0	2	0	1
8	0	1.75	3.75	5.5	0	0	0	0	0	2
4	1	4	3.5	2.05	0	0	0	1	1	2
5	4	3.75	3.5	2.1	0	0	0	2	1	1
3	3	1.7	4	5.5	0	2	-2	1	2	3
3	1	2.3	3.5	3.3	0	1	-1	0	2	3
4	4	2.15	3.6	3.5	0	0	0	1	2	3
7	0	1.25	6.5	15	2	0	2	2	0	1
0	0	1.85	3.8	4.5	1	0	1	2	1	1
3	4	2.1	3.5	3.8	0	0	0	0	0	2
3	0	1.4	5.25	8.5	1	1	0	2	1	1
7	4	1.83	3.75	4.75	0	0	0	1	0	1
5	0	1.7	3.8	5.75	1	2	-1	1	2	3
3	0	4.33	3.7	1.91	1	1	0	3	1	1
3	4	3.6	3.4	2.2	1	0	1	1	2	3
2	7	5.25	3.75	1.75	1	0	1	1	1	2
0	5	2.15	3.4	3.75	0	1	-1	1	1	2
2	1	1.73	4	5	0	0	0	1	0	1
5	0	1.33	5.75	10	2	0	2	3	0	1
4	1	2.38	3.4	3.25	2	1	1	3	2	1
