HTHC	HTAC	B365H	B365D	B365A	HTHG	HTAG	HTHG-AG	FTHG	FTAG	FTR
2	6	7	4	1.5	0	1	-1	0	1	3
0	0	1.67	3.8	5	1	0	1	2	0	1
3	1	2.05	3.4	3.6	0	0	0	0	0	2
3	2	3.1	3.2	2.35	1	0	1	1	0	1
4	2	3.9	3.4	1.95	1	1	0	1	2	3
0	2	2	3.4	3.75	1	0	1	3	1	1
0	2	2.2	3.25	3.3	1	0	1	1	1	2
2	2	2.3	3.4	3	1	1	0	1	1	2
4	6	3.1	3.3	2.3	0	0	0	0	0	2
3	5	1.8	3.5	4.5	0	0	0	2	0	1
6	0	5.5	3.75	1.62	0	1	-1	0	1	3
1	0	1.4	4.5	8	1	0	1	2	0	1
6	4	2.25	3.4	3.1	0	1	-1	1	2	3
2	3	1.57	3.8	6	0	0	0	0	0	2
3	1	1.44	4.33	7	4	0	4	7	0	1
3	0	1.33	5	9	1	0	1	3	0	1
7	0	1.36	4.75	8	0	0	0	0	1	3
1	2	2.7	3.2	2.6	1	3	-2	4	5	3
3	3	2.4	3.1	3.1	1	0	1	2	0	1
3	0	2.2	3.3	3.3	1	1	0	2	1	1
1	3	2.8	3	2.7	2	0	2	2	2	2
2	3	3.2	3.3	2.25	0	0	0	0	1	3
1	4	3.25	3.1	2.3	0	0	0	0	1	3
0	4	2.9	3.1	2.5	1	0	1	2	3	3
0	4	3	3	2.5	0	0	0	1	0	1
4	1	3.75	3.4	2	1	1	0	1	1	2
0	2	1.3	5	11	2	0	2	2	0	1
1	4	2.63	3.2	2.7	0	0	0	0	0	2
2	1	1.91	3.5	4	0	0	0	0	1	3
0	2	3.3	3.25	2.2	0	0	0	1	0	1
2	2	4.5	3.3	1.85	2	1	1	2	2	2
2	4	2.55	3.3	2.7	1	2	-1	1	2	3
6	2	1.44	4.33	7	0	0	0	0	0	2
5	5	1.44	4.33	7	1	0	1	2	0	1
2	1	1.13	8	19	1	0	1	3	0	1
3	2	1.44	4.33	7	3	2	1	3	3	2
3	7	3.75	3.4	2	0	1	-1	1	2	3
3	0	1.91	3.3	4.2	1	0	1	2	1	1
5	2	2.05	3.4	3.5	0	1	-1	2	2	2
2	2	1.8	3.5	4.5	0	1	-1	0	1	3
1	1	6.5	3.8	1.55	0	1	-1	0	3	3
4	2	1.33	5	9	0	0	0	2	0	1
3	7	5.5	3.75	1.62	1	1	0	1	1	2
3	1	2.25	3.25	3.25	0	0	0	1	1	2
1	3	2.9	3	2.6	0	0	0	0	1	3
2	2	1.44	4.33	7	1	4	-3	1	4	3
4	3	4.5	3.5	1.8	0	1	-1	0	1	3
3	2	2.88	3.2	2.5	0	0	0	1	1	2
1	0	2.9	3.25	2.4	0	1	-1	0	4	3
1	1	2.2	3.2	3.4	2	2	0	4	2	1
3	1	1.4	4.75	7	0	0	0	2	0	1
2	6	2	3.3	3.75	0	0	0	1	0	1
10	2	2.38	3.2	3	2	0	2	3	0	1
2	2	2.38	3.3	2.9	2	0	2	3	0	1
2	2	1.8	3.5	4.5	2	2	0	3	2	1
3	0	1.5	4	7	3	1	2	3	2	1
6	1	1.5	4	7	0	1	-1	2	1	1
4	1	1.91	3.4	4	0	0	0	1	2	3
1	2	1.83	3.4	4.5	1	0	1	1	0	1
4	0	1.45	4.2	7.5	0	0	0	1	1	2
4	2	1.3	5.5	9	3	0	3	3	0	1
1	2	7.5	4.5	1.4	1	1	0	1	1	2
2	1	2.5	3.2	2.88	0	0	0	1	0	1
3	0	2.5	3.3	2.75	0	2	-2	2	2	2
2	1	2.05	3.3	3.6	0	1	-1	0	2	3
3	3	2.5	3.25	2.8	0	0	0	2	2	2
6	0	1.65	3.6	5.5	1	0	1	2	1	1
1	3	2.15	3.2	3.4	0	0	0	1	0	1
4	2	3.4	3.4	2.1	0	2	-2	1	3	3
2	1	2.1	3.3	3.5	1	0	1	1	1	2
3	3	2	3.4	3.75	0	4	-4	0	4	3
6	1	1.73	3.6	4.75	0	2	-2	1	3	3
5	7	3.6	3.5	2	0	0	0	0	0	2
2	2	6.5	3.6	1.57	0	1	-1	0	1	3
2	3	2.38	3.1	3.1	1	0	1	1	2	3
2	1	1.22	5.5	15	1	0	1	2	0	1
2	5	1.75	3.5	4.75	1	0	1	2	1	1
1	2	2.05	3.4	3.6	1	0	1	1	1	2
12	0	1.4	4.5	8	1	1	0	6	2	1
2	0	1.91	3.4	4	2	0	2	2	0	1
5	1	2.2	3.25	3.3	0	1	-1	3	1	1
0	3	4	3.4	1.91	0	0	0	1	1	2
3	1	3.4	3.4	2.1	1	1	0	1	1	2
3	1	1.65	3.6	5.5	1	0	1	3	0	1
0	6	7	4	1.5	0	0	0	1	0	1
1	1	1.8	3.6	4.33	0	0	0	1	0	1
1	1	1.91	3.4	4	0	0	0	1	0	1
2	1	1.18	6.5	15	1	0	1	2	0	1
2	3	1.83	3.4	4.33	1	0	1	1	0	1
0	1	3.2	3.3	2.25	0	1	-1	1	1	2
0	3	7.5	4.2	1.44	0	0	0	0	2	3
2	0	2.4	3.3	2.9	1	0	1	2	0	1
3	0	3.4	3.4	2.1	1	0	1	2	0	1
2	2	2.4	3.2	3	0	0	0	0	0	2
1	4	1.5	4	7	0	2	-2	0	2	3
2	6	3	3.2	2.4	2	1	1	3	1	1
5	3	1.85	3.5	4.2	0	0	0	0	0	2
4	3	2.05	3.3	3.6	2	2	0	2	4	3
0	2	2.88	3.2	2.5	1	0	1	1	1	2
2	4	1.53	3.8	6.5	3	0	3	4	2	1
3	4	2.6	3.2	2.7	1	1	0	2	2	2
3	2	2.1	3.4	3.4	0	0	0	0	0	2
2	1	2.2	3.4	3.2	1	0	1	1	1	2
1	2	1.85	3.4	4.33	0	0	0	2	1	1
1	2	3.75	3.25	2.05	0	0	0	2	1	1
2	2	2.5	3.3	2.75	0	0	0	0	1	3
4	2	1.45	4.5	6.5	1	1	0	2	2	2
4	0	1.2	6	15	3	0	3	7	0	1
5	2	2.15	3.3	3.4	1	1	0	1	1	2
0	3	1.44	4.33	7	2	0	2	3	0	1
1	3	4.5	3.4	1.83	1	2	-1	1	2	3
2	2	3.75	3.4	2	0	1	-1	0	3	3
1	1	4	3.3	1.95	0	0	0	1	1	2
2	2	2.63	3.2	2.7	1	0	1	1	1	2
3	3	1.36	4.75	8.5	2	1	1	3	3	2
2	7	2.15	3.4	3.3	0	1	-1	0	2	3
3	2	1.83	3.5	4.33	0	0	0	0	1	3
1	3	1.85	3.4	4.33	1	0	1	1	1	2
2	4	3.4	3.4	2.1	1	1	0	1	2	3
2	2	2.15	3.3	3.4	1	1	0	1	1	2
1	5	3.75	3.3	2.1	0	0	0	0	0	2
7	1	2	3.5	3.6	0	1	-1	2	1	1
5	5	3.8	3.5	2	0	1	-1	0	4	3
3	9	3.4	3.2	2.25	0	3	-3	0	3	3
4	2	2.1	3.4	3.6	0	0	0	0	0	2
3	1	1.3	5	13	1	1	0	2	1	1
5	0	1.62	3.75	6	0	0	0	2	0	1
4	2	1.85	3.6	4.5	1	1	0	2	1	1
5	3	1.75	3.75	4.75	1	1	0	4	2	1
6	3	3.3	3.4	2.2	0	0	0	1	1	2
2	3	3.8	3.4	2.05	0	0	0	0	0	2
9	1	1.33	5.25	9	0	2	-2	2	2	2
2	1	1.91	3.3	4.5	1	2	-1	2	2	2
3	1	1.62	3.6	6.5	1	2	-1	3	2	1
10	8	3.1	3.25	2.4	1	0	1	1	0	1
4	1	1.5	4	7.5	1	0	1	1	2	3
5	1	1.33	5	10	0	1	-1	2	2	2
1	1	3.6	3.4	2.1	1	1	0	1	2	3
0	2	1.85	3.6	4.33	0	2	-2	0	2	3
4	3	2.7	3.25	2.7	1	1	0	1	3	3
4	1	1.57	3.8	6.5	0	0	0	3	0	1
2	2	2.05	3.5	3.6	1	0	1	2	1	1
