HTHC	HTAC	B365H	B365D	B365A	HTHG	HTAG	HTH-AG	FTHG	FTAG	FTR
3	3	1.44	4.75	8	1	1	0	1	3	3
3	4	1.4	5	9.5	1	0	1	1	0	1
5	6	3.2	3.4	2.4	0	0	0	2	2	2
5	0	2.3	3.4	3.4	0	0	0	0	1	3
3	1	4.2	3.5	2	0	2	-2	1	4	3
3	4	2.4	3.4	3.2	0	0	0	0	1	3
2	0	2	3.6	4	1	0	1	2	0	1
5	0	1.2	7	21	2	0	2	2	0	1
0	4	4.75	3.75	1.83	0	0	0	0	1	3
1	1	1.33	5.5	11	2	0	2	4	0	1
0	0	1.29	5.5	10	1	1	0	2	1	1
4	1	4	3.75	1.95	0	1	-1	0	1	3
4	0	1.57	4.33	6.5	0	0	0	0	0	2
0	5	3.8	3.5	2.1	0	2	-2	1	3	3
0	1	2.45	3.4	3.1	1	0	1	1	0	1
3	1	2.3	3.4	3.4	0	0	0	0	0	2
1	2	1.73	3.8	5.5	0	1	-1	1	1	2
3	0	1.83	3.6	5	0	1	-1	2	1	1
1	3	8.5	4.75	1.44	0	0	0	3	2	1
3	2	1.62	4	6.5	0	0	0	1	0	1
2	0	2.45	3.4	3.1	0	0	0	0	0	2
2	3	3.25	3.4	2.38	0	0	0	0	0	2
2	3	2.6	3.3	3	1	0	1	3	1	1
4	3	1.17	8.5	19	0	0	0	2	0	1
4	1	2.15	3.4	3.75	0	0	0	1	0	1
2	0	3	3.3	2.55	0	0	0	1	0	1
1	2	2	3.4	4.33	0	0	0	0	1	3
1	3	2.1	3.7	3.6	1	0	1	1	0	1
1	2	2.63	3.4	2.88	1	0	1	1	0	1
1	2	2.7	3.4	2.8	0	1	-1	0	2	3
1	0	2.15	3.4	3.8	0	1	-1	1	2	3
2	4	3.4	3.3	2.35	1	0	1	1	0	1
2	1	2.15	3.5	3.6	1	0	1	1	1	2
2	1	2.45	3.25	3.25	1	0	1	1	1	2
5	0	1.22	7	16	1	0	1	2	0	1
2	2	6	4	1.65	0	0	0	0	0	2
1	5	6	3.9	1.67	0	1	-1	1	3	3
3	0	1.45	4.75	8	1	0	1	2	0	1
3	2	1.85	3.6	4.75	0	0	0	0	0	2
0	5	3.5	3.5	2.2	1	2	-1	2	2	2
5	2	1.3	5.75	12	0	0	0	2	0	1
3	1	1.6	4	6.5	0	0	0	0	1	3
0	2	1.85	3.5	5	2	1	1	2	3	3
2	2	2.4	3.4	3.2	0	1	-1	0	1	3
4	2	2.05	3.4	4.2	1	0	1	3	0	1
4	3	3.3	3.3	2.4	1	0	1	2	3	3
3	2	1.36	5.25	10	2	1	1	3	1	1
1	6	4.5	3.6	1.91	0	0	0	0	1	3
2	8	3.5	3.4	2.25	0	1	-1	0	2	3
7	1	2.2	3.4	3.6	2	0	2	4	1	1
1	9	6.5	4.2	1.57	0	1	-1	3	2	1
4	9	2.1	3.4	3.9	1	1	0	1	2	3
5	3	2.38	3.3	3.3	1	0	1	1	0	1
3	3	1.3	5.75	12	0	0	0	1	2	3
5	1	1.45	4.5	8.5	0	0	0	2	0	1
2	1	3.2	3.4	2.38	0	0	0	1	2	3
2	3	2.7	3.3	2.88	1	0	1	1	1	2
4	1	1.95	3.4	4.5	0	1	-1	0	1	3
5	5	5.5	3.9	1.7	0	2	-2	1	3	3
1	1	1.65	4	6	3	0	3	3	2	1
1	1	2.45	3.4	3.1	0	2	-2	1	2	3
2	1	2.4	3.3	3.3	0	0	0	1	0	1
4	3	2.45	3.3	3.2	0	0	0	0	0	2
5	2	1.2	7.5	17	3	0	3	3	1	1
5	1	1.67	4.2	5.5	2	1	1	3	1	1
1	4	6	4	1.65	1	0	1	1	2	3
2	3	6.5	4	1.62	0	1	-1	1	3	3
2	4	2.1	3.5	3.8	1	0	1	2	0	1
1	2	1.44	4.75	8.5	0	0	0	0	3	3
4	2	4.9	4	1.75	1	0	1	1	1	2
6	1	1.29	6	12	1	0	1	4	1	1
4	2	1.25	6.5	15	1	1	0	4	1	1
3	5	1.45	4.5	9	1	1	0	2	1	1
1	1	1.57	4.33	6.5	1	0	1	1	1	2
2	8	4.5	3.9	1.83	1	1	0	2	2	2
3	3	2.3	3.3	3.5	0	0	0	0	0	2
2	2	1.62	4	6.5	0	0	0	4	0	1
3	4	5.5	3.8	1.73	0	1	-1	1	3	3
3	3	4	3.5	2.05	0	1	-1	0	2	3
1	3	2.75	3.3	2.8	1	2	-1	1	4	3
4	2	3.4	3.4	2.3	0	0	0	0	2	3
1	2	11	5	1.36	0	0	0	0	2	3
1	3	1.44	4.75	8	2	0	2	4	1	1
6	1	1.33	5.5	11	1	2	-1	3	2	1
8	2	2.2	3.4	3.6	0	0	0	0	0	2
6	1	1.62	4	6.5	2	0	2	2	0	1
2	5	2.38	3.4	3.2	1	0	1	2	1	1
1	3	2.9	3.3	2.63	1	0	1	2	1	1
3	5	1.75	3.8	5.25	0	0	0	0	0	2
4	3	1.44	4.75	8	0	0	0	1	0	1
1	1	2.3	3.5	3.3	1	0	1	2	0	1
3	1	6.5	4.2	1.57	0	3	-3	1	3	3
1	2	2.15	3.4	3.8	1	0	1	1	0	1
5	2	1.2	7.5	18	4	0	4	7	0	1
0	5	6	4.2	1.62	0	0	0	2	0	1
3	1	3.3	3.3	2.4	1	1	0	1	1	2
5	0	1.55	4.2	7	1	0	1	2	0	1
2	0	2.25	3.5	3.4	0	0	0	0	0	2
2	1	3.4	3.4	2.3	0	0	0	1	0	1
2	4	2.5	3.4	3	0	0	0	0	0	2
1	1	2	3.5	4.2	0	0	0	2	0	1
2	2	1.29	6	12	1	0	1	2	2	2
3	2	6.5	4	1.62	0	0	0	0	0	2
5	2	1.25	6.5	15	3	0	3	4	0	1
2	1	2.63	3.3	2.9	0	1	-1	3	1	1
2	3	1.62	3.8	7	3	0	3	4	1	1
3	1	2.35	3.5	3.2	1	0	1	1	0	1
0	4	9	5	1.4	1	0	1	1	0	1
7	2	2	3.4	4.33	0	2	-2	3	3	2
4	2	1.57	4.33	6.5	0	1	-1	0	1	3
1	4	1.62	4.2	6	1	0	1	2	0	1
3	4	3	3.4	2.5	1	2	-1	3	3	2
4	4	3.3	3.3	2.38	0	0	0	1	2	3
6	2	1.85	3.5	5	0	0	0	0	1	3
4	0	1.8	3.8	4.75	2	0	2	2	1	1
2	6	2.15	3.3	3.9	1	0	1	2	0	1
2	3	6	4.2	1.62	0	2	-2	0	3	3
0	3	6	4	1.65	1	2	-1	2	2	2
1	3	1.7	4	5.5	3	0	3	6	0	1
2	1	2.15	3.4	3.8	2	0	2	2	2	2
4	5	2	3.4	4.33	0	0	0	0	0	2
2	1	6.5	4	1.62	0	1	-1	0	3	3
6	0	1.62	4	6.25	1	0	1	4	0	1
2	1	2.05	3.5	4	1	0	1	2	1	1
4	3	2	3.4	4.33	1	0	1	1	0	1
4	2	1.91	3.5	4.6	0	0	0	3	0	1
2	2	1.57	4.2	6.5	0	1	-1	3	1	1
1	4	6.5	4	1.62	1	1	0	3	1	1
2	4	1.29	6	13	1	0	1	3	0	1
3	4	2.8	3.5	2.63	1	1	0	2	2	2
1	3	3.25	3.3	2.4	1	0	1	1	0	1
6	1	1.2	7.5	17	1	0	1	2	0	1
6	3	5.8	3.9	1.67	0	0	0	1	2	3
2	0	1.29	6	12	3	0	3	5	1	1
3	3	1.73	3.75	5.5	0	0	0	0	1	3
4	2	1.7	3.8	5.75	0	1	-1	2	3	3
2	3	2.1	3.4	4	0	0	0	0	0	2
4	2	6.5	4.33	1.55	1	2	-1	3	4	3
0	0	2.2	3.5	3.5	1	0	1	3	0	1
2	1	6	4.2	1.62	0	2	-2	2	3	3
4	1	2.8	3.3	2.75	1	0	1	2	0	1
3	3	1.29	6	12	1	0	1	4	1	1
3	1	1.53	4.33	7	0	0	0	0	1	3
4	2	5.25	3.8	1.75	1	1	0	1	1	2
2	2	6.5	4.2	1.57	1	1	0	3	2	1
0	7	4.5	3.6	1.91	1	1	0	1	2	3
7	1	1.8	3.75	5	0	1	-1	0	2	3
0	1	1.7	3.8	5.75	0	0	0	1	1	2
2	2	2.75	3.3	2.8	2	0	2	2	0	1
6	0	1.75	3.75	5.5	0	1	-1	1	1	2
5	2	2.63	3.4	2.88	0	0	0	1	0	1
2	0	1.18	8	19	2	1	1	2	1	1
9	1	1.36	5	10.5	1	0	1	4	1	1
3	2	2.3	3.3	3.5	0	0	0	0	0	2
5	2	1.83	3.75	4.75	2	1	1	6	3	1
4	2	2.4	3.4	3.2	1	0	1	1	1	2
1	8	1.95	3.6	4.33	0	0	0	0	0	2
1	2	5.25	3.8	1.75	0	2	-2	0	3	3
4	1	2.88	3.3	2.7	1	1	0	1	1	2
1	5	2.5	3.4	3	0	2	-2	0	5	3
3	2	3.25	3.4	2.38	0	2	-2	0	3	3
3	3	9.5	5.25	1.36	0	2	-2	2	4	3
2	2	1.2	7.5	16	3	0	3	3	1	1
3	0	1.36	5.25	10	2	0	2	3	1	1
4	5	2.3	3.25	3.5	0	0	0	2	1	1
1	4	2.05	3.5	4	0	0	0	0	0	2
4	2	1.95	3.5	4.5	0	1	-1	1	1	2
0	4	2.55	3.3	3	1	1	0	2	3	3
1	4	3	3.4	2.5	0	0	0	1	2	3
4	4	2.38	3.4	3.25	0	0	0	0	0	2
3	2	1.91	3.5	4.5	0	0	0	0	1	3
2	1	3.3	3.3	2.38	0	3	-3	0	3	3
8	1	1.33	5.5	10	1	0	1	1	0	1
1	1	1.36	5.25	9.5	0	1	-1	0	1	3
2	2	7	4.2	1.55	2	2	0	2	3	3
5	2	1.75	4.2	4.6	2	1	1	2	1	1
2	2	1.75	3.8	5.25	1	1	0	5	1	1
