HTHC	HTAC	B365H	B365D	B365A	HTHG	HTAG	HTHG-AG	FTHG	FTAG	FTR
1	0	1.5	4.2	7	1	0	1	2	1	1
6	1	1.44	4.5	7.5	0	0	0	4	0	1
5	1	3.1	3.25	2.4	0	3	-3	3	4	3
2	1	1.85	3.5	5	0	0	0	1	0	1
1	4	3.75	3.3	2.1	0	0	0	2	0	1
1	1	2.3	3.2	3.3	0	1	-1	0	1	3
4	0	2.05	3.3	3.8	0	0	0	3	1	1
7	3	1.85	3.5	4.33	1	0	1	3	2	1
1	2	3	3.2	2.5	0	1	-1	0	1	3
3	3	7.5	4.5	1.44	2	0	2	2	2	2
2	0	4.75	3.5	1.8	0	0	0	0	1	3
4	2	1.67	4	5	2	0	2	4	2	1
3	0	4.75	3.75	1.7	0	1	-1	2	2	2
0	3	4	3.4	1.91	1	0	1	1	3	3
4	1	1.67	3.75	5.5	1	0	1	1	0	1
5	1	1.33	4.75	10	0	0	0	1	1	2
0	0	2.25	3.2	3.4	2	1	1	2	1	1
4	0	1.85	3.5	4.5	2	1	1	5	1	1
2	3	2.05	3.4	3.75	1	0	1	2	0	1
5	2	1.3	5	12	3	1	2	3	1	1
0	2	9	5	1.33	0	0	0	0	3	3
2	1	2.6	3.2	2.8	0	0	0	2	1	1
3	4	2.1	3.25	3.75	1	0	1	2	1	1
0	1	3	3.2	2.5	0	0	0	1	1	2
5	6	1.67	4	5	0	0	0	0	1	3
0	8	4.75	3.75	1.75	0	0	0	1	2	3
3	5	1.33	5.25	9	1	2	-1	3	2	1
2	0	1.57	4	6	1	1	0	2	1	1
3	3	3.1	3.3	2.3	0	0	0	0	1	3
5	1	1.5	4.33	6.5	0	0	0	3	0	1
3	3	1.25	6	12	1	0	1	3	1	1
1	1	2.6	3.2	2.8	1	0	1	3	0	1
1	3	3	3.2	2.5	1	0	1	1	1	2
2	3	2.9	3.5	2.4	0	0	0	1	0	1
1	3	4	3.5	1.95	0	0	0	2	1	1
2	2	2.2	3.2	3.5	0	0	0	2	0	1
5	2	1.75	3.6	4.75	0	0	0	0	0	2
2	0	2	3.25	4	1	0	1	1	2	3
2	3	2.15	3.4	3.4	1	0	1	2	0	1
4	2	1.62	3.75	6	0	0	0	0	1	3
1	2	2.4	3.25	3.1	1	0	1	2	0	1
4	4	2.4	3.2	3.1	2	1	1	2	1	1
2	2	4.33	3.3	1.95	0	2	-2	0	2	3
1	3	4.75	3.75	1.75	0	0	0	0	0	2
4	0	1.17	7.5	17	3	0	3	4	0	1
0	1	3.25	3.25	2.3	0	0	0	0	0	2
7	1	1.13	8.5	23	2	0	2	4	0	1
3	1	3.25	3.25	2.3	2	1	1	2	2	2
3	1	1.33	5	10	2	0	2	2	0	1
1	5	11	5.5	1.29	0	0	0	0	1	3
3	2	2.3	3.1	3.4	0	0	0	0	0	2
1	1	1.65	4	5.25	0	0	0	1	1	2
5	0	1.45	4.2	8.5	1	1	0	1	1	2
3	0	1.44	4.2	8.5	1	0	1	2	0	1
6	0	2.05	3.3	3.8	1	0	1	1	0	1
3	7	3.75	3.5	2	1	0	1	3	1	1
2	4	2.2	3.2	3.5	1	0	1	2	1	1
0	2	4.5	3.3	1.91	0	3	-3	1	3	3
4	4	2.55	3.2	2.9	0	0	0	0	2	3
2	5	3	3.3	2.4	0	1	-1	0	3	3
2	5	6	4	1.55	1	0	1	1	0	1
3	3	2.2	3.1	3.6	0	0	0	0	1	3
5	5	1.44	4.33	8	1	0	1	2	1	1
3	2	10	5	1.3	0	0	0	0	3	3
2	1	1.62	3.8	6	1	1	0	4	3	1
2	8	2	3.5	3.8	1	0	1	2	1	1
3	1	1.65	3.75	5.5	0	0	0	1	1	2
2	5	2.4	3.2	3.1	1	0	1	2	1	1
2	3	1.2	7	13	1	1	0	2	1	1
5	1	2	3.5	3.8	0	1	-1	1	3	3
5	3	2.38	3.3	3.1	1	1	0	1	1	2
4	0	2.8	3	2.75	0	1	-1	1	3	3
2	2	1.75	3.6	5	0	0	0	0	0	2
0	2	1.75	3.6	5	0	0	0	0	0	2
4	3	1.4	4.75	8.5	0	0	0	1	2	3
6	0	1.5	4	7.5	0	1	-1	1	1	2
5	1	1.4	4.5	8.5	0	1	-1	2	1	1
3	3	3.8	3.5	2	1	3	-2	1	4	3
3	3	4.5	3.7	1.8	0	0	0	1	0	1
3	3	3.1	3.25	2.4	1	1	0	2	1	1
2	0	3.3	3.4	2.2	1	0	1	2	1	1
5	2	2.5	3.2	3	1	0	1	1	1	2
1	4	3	3.3	2.4	1	4	-3	3	5	3
1	4	15	6	1.22	0	2	-2	1	2	3
2	1	2.55	3	3.1	0	0	0	0	0	2
3	1	1.18	7	17	1	0	1	4	1	1
2	1	2.2	3.3	3.4	1	0	1	2	2	2
1	1	1.85	3.5	4.5	1	0	1	3	1	1
1	1	2.75	3.25	2.6	1	0	1	3	0	1
4	3	2.1	3.1	4	0	0	0	1	1	2
6	1	1.22	6	15	0	1	-1	1	1	2
0	4	2	3.5	3.75	1	0	1	2	1	1
4	2	1.17	7.5	17	2	0	2	4	1	1
1	5	1.44	4.5	7.5	3	0	3	4	1	1
4	2	1.29	5.5	11	0	0	0	2	0	1
0	4	2.9	3.25	2.5	0	0	0	0	1	3
3	10	4.2	3.5	1.91	1	0	1	1	3	3
1	3	2.9	3.25	2.5	1	1	0	1	3	3
1	3	3.25	3.25	2.3	0	1	-1	0	1	3
1	1	1.8	3.5	4.75	0	0	0	2	1	1
1	3	2.3	3.2	3.3	2	0	2	3	0	1
1	4	3.5	3.2	2.2	1	0	1	2	0	1
2	3	6	4.2	1.55	0	0	0	0	0	2
6	2	1.67	3.75	5.5	0	0	0	2	1	1
4	3	1.4	4.75	8	0	0	0	1	0	1
3	4	3.6	3.5	2.05	1	0	1	1	0	1
0	2	1.73	3.5	5	0	0	0	2	1	1
1	2	2.88	3.25	2.45	0	1	-1	2	2	2
2	2	1.67	4	5	0	0	0	1	1	2
0	3	1.55	4.33	5.75	3	1	2	5	1	1
2	1	9	4	1.44	0	0	0	1	2	3
7	1	1.57	3.8	6.5	1	0	1	1	1	2
3	0	1.85	3.6	4.33	1	1	0	1	1	2
7	0	1.25	5.75	13	0	0	0	3	0	1
4	2	5.5	3.75	1.67	0	1	-1	1	2	3
3	0	2.4	3.2	3.1	0	3	-3	0	4	3
0	3	1.25	6	12	1	0	1	3	0	1
1	7	2.5	3.2	3	0	3	-3	0	3	3
2	3	1.91	3.5	4.2	0	0	0	1	0	1
3	0	1.14	8	19	1	0	1	3	0	1
